id,title,artist,year,genre,style,master_id,release_country,labels,format,rating,have,want,url,image_url
118668,Sky Is Clear / Kofea,Agoria,2002,Electronic,"Techno, Tech House",369120,France,"[PIAS] Recordings, [PIAS] Recordings","12""",4.45,1253,222,https://www.discogs.com/release/118668-Agoria-Sky-Is-Clear-Kofea,https://i.discogs.com/S_XFnlY8MrE5U_1CE1ywljs3raspEJ_ZchNQJSyb3CY/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExODY2/OC0xNjQzMzA1NTQ2/LTk1NzguanBlZw.jpeg
2469079,Philharmonics,Agnes Obel,2010,"Folk, World, & Country",Folk,279920,Europe,"[PIAS] Recordings, [PIAS] Recordings","LP, Album",4.4,5293,1054,https://www.discogs.com/release/2469079-Agnes-Obel-Philharmonics,https://i.discogs.com/rq0nvSndZ95Rr_6_tTyygLC1UeyPKiZ7lX6pRIY5ItM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0Njkw/NzktMTQ5NTYyODYz/Mi01MTkxLmpwZWc.jpeg
917960,Cube,Le Peuple De L'Herbe,2005,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",133208,Belgium,"[PIAS] Recordings, [PIAS] Recordings, Supadope Records","LP, Album",4.62,336,181,https://www.discogs.com/release/917960-Le-Peuple-De-LHerbe-Cube,https://i.discogs.com/W-IGM9adk0xWEYz3Aq4KDwyo7Gcx5FnWqTb3h6ocXn8/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkxNzk2/MC0xNjgzOTIxMjg4/LTYzNDkuanBlZw.jpeg
5516756,Get Down,Gene Chandler,1978,Funk / Soul,"Soul, Disco",95439,US,"20th Century Fox Records, Chi Sound Records","LP, Album, Stereo",3.8,119,45,https://www.discogs.com/release/5516756-Gene-Chandler-Get-Down,https://i.discogs.com/_uHS1nVO71KkFkaIYutpTu6pAlhqqn5OuMkFnzTeuAk/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MTY3/NTYtMTcwOTg3NDc2/NC04MjQzLmpwZWc.jpeg
12631866,Maxinquaye,Tricky,2018,Electronic,"Leftfield, Downtempo, Trip Hop",50297,Europe,"4th & Broadway, UMC","LP, Album, Reissue",4.54,2852,635,https://www.discogs.com/release/12631866-Tricky-Maxinquaye,https://i.discogs.com/yCTCNcC4MU7UNolr3OrK1BgnhK5MNu3njJGBjaVdabc/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjMx/ODY2LTE1NjU5NzYw/OTAtMjk1Ni5qcGVn.jpeg
14724778,Tragédie D'Une Trajectoire,Casey (2),2020,Hip Hop,"Conscious, Hardcore Hip-Hop",257933,France,A Parté,"LP, Album, Repress",4.67,287,84,https://www.discogs.com/release/14724778-Casey-2-Tragédie-DUne-Trajectoire,https://i.discogs.com/6ulDGPFZ2lHrK7GN5MWHV4I4GXAWsE62c_Q0P5Sr2jE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NzI0/Nzc4LTE1ODAzNzM5/NTktNTUxMS5qcGVn.jpeg
14883419,Gangrene,Ausgang (7),2020,"Hip Hop, Rock",N/A,1710013,France,A Parté,"LP, Album",4.68,225,46,https://www.discogs.com/release/14883419-Ausgang-7-Gangrene,https://i.discogs.com/q-AFhnezzcrGcUH_IoSd84tCFCR0zE5NfcNwQd7AtJ0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODgz/NDE5LTE1ODM0MjIw/OTktMjk2NS5qcGVn.jpeg
1449729,Shine On,L.T.D.,1980,Funk / Soul,"Soul, Funk, Disco",185407,US,A&M Records,"LP, Album",3.85,1259,213,https://www.discogs.com/release/1449729-LTD-Shine-On,https://i.discogs.com/aeLPTQsS-ER_QgbUFVHcX4IwHjeYzDjlYcmKd4ekcOo/rs:fit/g:sm/q:90/h:346/w:354/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NDk3/MjktMTI1NDY0ODgw/Mi5qcGVn.jpeg
8383822,The Dude,Quincy Jones,2016,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",30926,Europe,"A&M Records, A&M Records, Universal Music Catalogue, Universal Music Catalogue","LP, Album, Record Store Day, Limited Edition, Reissue, Stereo",4.5,396,196,https://www.discogs.com/release/8383822-Quincy-Jones-The-Dude,https://i.discogs.com/2UPM85KCu_cAMM_xRocp_4JFUmW6JB2SA_s9mSIgGGA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzODM4/MjItMTU3NTE5NTUx/Ni04NTU1LmpwZWc.jpeg
1267938,Any Time Any Place,The Dramatics,1979,Funk / Soul,"Soul, Ballad, Disco, Funk",157003,US,ABC Records,"LP, Album",3.94,585,105,https://www.discogs.com/release/1267938-The-Dramatics-Any-Time-Any-Place,https://i.discogs.com/hao1Qw5A240eiQkes0ECDOiEGGQ1F1OdIXTWeSFElns/rs:fit/g:sm/q:90/h:591/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjc5/MzgtMTIwNTA5NzQy/Ny5qcGVn.jpeg
7685872,Compton (A Soundtrack By Dr. Dre),Dr. Dre,2015,Hip Hop,"Gangsta, Trap",873280,Europe,"Aftermath Entertainment, Interscope Records","LP, Album",4.26,4119,900,https://www.discogs.com/release/7685872-Dr-Dre-Compton-A-Soundtrack-By-Dr-Dre,https://i.discogs.com/VJrW7iaojpTuACz1F83uyM6xvvGfvT0Wm35_VpT26c4/rs:fit/g:sm/q:90/h:586/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2ODU4/NzItMTQ0NjcxNTk1/Ny0yNjAyLmpwZWc.jpeg
2955328,2001,Dr. Dre,2011,Hip Hop,"Gangsta, G-Funk",33886,Europe,"Aftermath Entertainment, Interscope Records","LP, Album, Reissue, Remastered",4.47,4915,2106,https://www.discogs.com/release/2955328-Dr-Dre-2001,https://i.discogs.com/MolUtCRgs8XFdGnhD7z3vfgiUlDfJHdWEDbEZ1TGDAQ/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NTUz/MjgtMTUzNzYzOTk5/OC00NTI3LmpwZWc.jpeg
5215304,The Slim Shady LP,Eminem,2013,Hip Hop,"Horrorcore, Hardcore Hip-Hop",12172,Europe,"Aftermath Entertainment, Interscope Records, Web Entertainment","LP, Album, Reissue, Stereo",4.54,3830,1107,https://www.discogs.com/release/5215304-Eminem-The-Slim-Shady-LP,https://i.discogs.com/A0ELcISojyFZAk4Oj1bahVNim27uaAX8GHMVUk7T-0w/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyMTUz/MDQtMTQwNzAxMTEz/MC05ODgwLmpwZWc.jpeg
5252470,The Marshall Mathers LP,Eminem,2013,Hip Hop,"Hardcore Hip-Hop, Horrorcore",12236,Europe,"Aftermath Entertainment, Interscope Records, Web Entertainment","LP, Album, Reissue",4.63,8725,2556,https://www.discogs.com/release/5252470-Eminem-The-Marshall-Mathers-LP,https://i.discogs.com/3HISU1QUQ52RY50a31IxuOGo4bcugIOJYvT4rqesVRs/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyNTI0/NzAtMTU0OTY2MzYy/Ni0zNDkzLnBuZw.jpeg
18669670,Music To Be Murdered By (Side B),Eminem,2021,Hip Hop,"Hardcore Hip-Hop, Conscious, Trap, Pop Rap, Horrorcore",1669732,USA & Europe,"Aftermath Entertainment, Shady Records, Interscope Records","LP, Album, Reissue, LP, Album, Deluxe Edition, Stereo",4.51,2901,534,https://www.discogs.com/release/18669670-Eminem-Slim-Shady-Music-To-Be-Murdered-By-Side-B,https://i.discogs.com/3wvZfd73KEGna7JV2DYl7fNDju-T8WC0DQmL78xteCE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NjY5/NjcwLTE2MjA2NTg5/MDEtNjM1Ni5qcGVn.jpeg
5199109,The Marshall Mathers LP 2,Eminem,2013,Hip Hop,Pop Rap,615877,Europe,"Aftermath Entertainment, Shady Records, Interscope Records, Web Entertainment","LP, Album",4.34,3613,1093,https://www.discogs.com/release/5199109-Eminem-The-Marshall-Mathers-LP-2,https://i.discogs.com/kB-x0fYneloXuzdgCc_EmU_MEy4pisfwkPx2U4sJ5lY/rs:fit/g:sm/q:90/h:600/w:595/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxOTkx/MDktMTUwNDQ1MDAw/OS04NTkzLmpwZWc.jpeg
